1,Jackie,Kim,silentweaver,jackie.kim@example.com,123qwe,admin
2,Joanne,Gutierrez,nostalgicwalrus,joanne.gutierrez@example.com,jazz554,admin
3,Diana,Neal,cheeryhedgehog,diana.neal@example.com,blue42,admin
4,Hailey,Soto,menacingocelot,hailey.soto@example.com,clu316,user
5,Erica,Curtis,uniquedolphin,erica.curtis@example.com,redd789,user
6,Jar,Kuhn,thoughtfuliguana,jar.kuhn@example.com,7575fry,user
7,Howard,Hansen,grandbuffalo,howard.hansen@example.com,caprice32,user
8,Ian,Vargas,quietlark,ian.vargas@example.com,slol667,user
9,Jim,Morrison,acrobaticsnipe,jim.morrison@example.com,fishcat,user
10,Carolyn,Edwards,devilishrhino,carolyn.edwards@example.com,ray9532,user
11,Alvin,Kelly,harmoniouscheetah,alvin.kelly@example.com,ting701,user
12,Alberto,Vargas,foolhardyraccon,alberto.vargas@example.com,knha452,user
13,Leon,Long,lavishgiraffe,leon.long@example.com,771trinma,user
14,Zoe,Berry,fancyelephant,zoe.berry@example.com,qltuia904,user
15,Antonio,Anderson,musicalcrane,antonio.anderson@example.com,142wally,user
16,Grace,Terry,serenefish,grace.terry@example.com,tedy4bea,user
17,Jerry,Nguyen,sassypigeon,jerry.nguyen@example.com,geson556,user
18,Marion,Fowler,gustypenguin,marion.fowler@example.com,1973thr,user
19,Hazel ,Hale,nauticalzebra,hazel.hale@example.com,sweet183,user
20,Samantha,Thomas,preciousbobcat,samantha.thomas@example.com,anfield321,user
